unidade;mail
AVG;avg.mecanica@marinha.pt
BNL;M3A02036@marinha.pt
CAS;dario.silva.ferreira@marinha.pt
CCDCM;ccdcm.secc.transp@marinha.pt
CCF;M0X749189@MARINHA.PT
CCM;ccm.transp@marinha.pt
CEFA;cefa.sag.sgfp.adj@marinha.pt
CITAN;citan.sa.ch.secc.man@marinha.pt
CMN;Reis.Cabral@marinha.pt
COMNAV;comnav.smag.transportes@marinha.pt
CZMAÇORES;czma.dap.sag.cst@marinha.pt
CZMMADEIRA;czmmadeira.csmag@marinha.pt
CZMNORTE;lisboa.pereira@marinha.pt
CZMSUL;M0A79305@marinha.pt
DMNL;dmnl.sag.transp.ch@marinha.pt
DN;dn.sectransportes@marinha.pt
DRISUB_ES;es.transportes@marinha.pt
DT;dt.div.tec.itp.pneus@marinha.pt
EHM;drihelis.transportes@marinha.pt
EN;escnaval-serv.transportes@marinha.pt
ENSUP;ensup.san.transp@marinha.pt
ETNA;etna.dmat.ch.secc.transp@marinha.pt
GAB CEMA;gabcema.ch.sec@marinha.pt
IGM;igm.sec@marinha.pt
MESSE CASCAIS;messecascais.sec@marinha.pt
RARMADA;ra.sec@marinha.pt
UAICM;uaicm.adjsectransportes@marinha.pt
